Company Name,Rating,No_of_Reviews,No_of_Followers,Tags,Type,Year Founded,Company Size,HQ Location,Website,Company Type,company size category,Small,Medium,Large
Ultra Drugs,,,0,"Film / Music / Entertainment, Private, Corporate, B2B",Private,2007 (17 yrs old),51-200,,https://www.ultradrugs.co.in,Corporate,Small,True,False,False
Sleek Infosolutions,3.9,(26 reviews),0,"IT Services & Consulting, Private, Corporate, B2B",Private,2004 (20 yrs old),51-200,,https://www.sleekinfosolutions.com/index.html,Corporate,Small,True,False,False
Mrs Bectors Foods Specialities Ltd,4.1,(209 reviews),172 followers ,"Food Processing, FMCG, Public, Corporate, B2C, Conglomerate",Public,1978 (46 yrs old),501-1000,,http://www.cremica.com,Corporate,Medium,False,True,False
Renault Nissan Technology and Business Centre India (RNTBCI),3.9,(1.4K reviews),15.9K followers ,"Automobile, Corporate, B2B",,2007 (17 yrs old),5001-10000,,https://rntbci.in/,Corporate,Medium,False,True,False
Geosys IT Solutions,4.9,(5 reviews),0,"IT Services & Consulting, Private, Corporate, B2B",Private,2008 (16 yrs old),Nov-50,,http://www.geosysitsolutions.com,Corporate,Small,True,False,False
Aeicorp Technologies,4.3,(10 reviews),0,"Power, Corporate, B2B",,1991 (33 yrs old),,,http://www.aeicorp.com/,Corporate,,False,False,False
Hy Gro,3.9,(136 reviews),0,"Pharmaceutical & Life Sciences, Private, Corporate, B2B",Private,1970 (54 yrs old),Nov-50,Secunderabad,http://hygrochemicals.com/,Corporate,Small,True,False,False
Sulphur Mills,4.0,(135 reviews),103 followers ,"Fertilizers / Pesticides / Agro chemicals, Chemicals, Public, Corporate, B2C",Public,1960 (64 yrs old),1001-5000,"Mumbai, Maharashtra",https://sml-ltd.com/,Corporate,Medium,False,True,False
Dynaflex,,,0,"Packaging & Containers, Private, Corporate, B2B",Private,1994 (30 yrs old),201-500,,http://www.dynacorp.in,Corporate,Medium,False,True,False
Praxcode Technologies,,,0,"Internet, Financial Services, Fitness & Wellness, Medical Services / Hospital, Private, Corporate, B2C, B2B, Soonicorn",Private,2008 (16 yrs old),5001-10000, Bengaluru,https://www.practo.com,Corporate,Medium,False,True,False
IZAAP Technologies,4.2,(8 reviews),0,"IT Services & Consulting, Financial Services, Private, Corporate, B2B",Private,2009 (15 yrs old),51-200,,https://izaaptech.com/,Corporate,Small,True,False,False
Indore Composite,4.1,(100 reviews),0,"Telecom / ISP, Private, Corporate, B2B",Private,1995 (29 yrs old),501-1000,,https://indore.co.in/,Corporate,Medium,False,True,False
AXIS MY INDIA,4.0,(243 reviews),0,"Analytics / KPO / Research, Advertising & Marketing, Private, Corporate, B2B",Private,1998 (26 yrs old),51-200,,https://www.axismyindia.org/,Corporate,Small,True,False,False
Renew,4.3,(871 reviews),11.6K followers ,"Power, Private, Corporate, B2B",Private,2011 (13 yrs old),1001-5000,"Gurgaon/Gurugram, Haryana",https://www.renew.com/,Corporate,Medium,False,True,False
Sara Technologies,,,0,"IT Services & Consulting, Private, Corporate, B2B",Private,2009 (15 yrs old),Nov-50,,http://www.sarasolutions.in,Corporate,Small,True,False,False
Ceasefire,,,0,"Industrial Equipment / Machinery, Private, Corporate, B2C",Private,2002 (22 yrs old),1001-5000,,http://www.ceasefire.in,Corporate,Medium,False,True,False
Honesty Net Solutions,4.0,(10 reviews),0,"IT Services & Consulting, Private, Corporate, B2B",Private,1994 (30 yrs old),Nov-50,,,Corporate,Small,True,False,False
Sopra Banking Software,3.6,(190 reviews),328 followers ,"IT Services & Consulting, Public, Corporate, B2B",Public,2012 (12 yrs old),1001-5000,"Paris, Ile-de-France",https://www.soprabanking.com/,Corporate,Medium,False,True,False
Silverlink Technologies,4.3,(314 reviews),0,"IT Services & Consulting, Private, Corporate, B2B",Private,2003 (21 yrs old),201-500,,http://www.silverlinktechnologies.com,Corporate,Medium,False,True,False
Denodo Technologies,4.6,(6 reviews),0,"Software Product, Private, Corporate, B2B",Private,1999 (25 yrs old),201-500,,http://www.denodo.com,Corporate,Medium,False,True,False
R.S Developers,,,0,"Real Estate, Private, Corporate, B2C, B2B",Private,1996 (28 yrs old),02-Oct,,,Corporate,Small,True,False,False
HELLA,4.1,(516 reviews),142 followers ,"Auto Components, Automobile, Consumer goods, Manufacturing, Electronics, Private, Corporate, B2B",Private,1899 (125 yrs old),10001-50000,,,Corporate,Large,False,False,True
Acme College Engineering,,,0,"Education / Training, Private, Corporate, B2C",Private,1990 (34 yrs old),201-500,,http://www.acmece.com,Corporate,Medium,False,True,False
MatexNet,3.8,(30 reviews),0,"Advertising & Marketing, Financial Services, Private, Corporate, B2B",Private,1995 (29 yrs old),51-200,,https://www.matexnet.com,Corporate,Small,True,False,False
Woodpecker Technologies,,,0,"IT Services & Consulting, Private, Corporate, B2B",Private,1991 (33 yrs old),Nov-50,,http://www.woodpeckertechnologies.com/,Corporate,Small,True,False,False
Aakash Educational Services (AESL),3.6,(2.7K reviews),26.6K followers ,"e-Learning / EdTech, Private, Corporate, B2C",Private,1988 (36 yrs old),10001-50000,,http://www.aakash.ac.in/,Corporate,Large,False,False,True
Imeg Corporation,4.1,(37 reviews),0,"Design, Private, Corporate, B2B",Private,1955 (69 yrs old),Nov-50,,http://www.imegcorp.com,Corporate,Small,True,False,False
Dmi Finance,3.6,(71 reviews),0,"NBFC, Private, Corporate, B2C, B2B",Private,2008 (16 yrs old),501-1000,,https://www.dmifinance.in,Corporate,Medium,False,True,False
SEABIRD LOGISOLUTIONS,3.7,(175 reviews),0,"Courier / Logistics, Public, Corporate, B2B",Public,2005 (19 yrs old),51-200,,http://seabirdlogisolutions.com/,Corporate,Small,True,False,False
MagicWorks,4.6,(3 reviews),0,"Advertising & Marketing, Private, Corporate, B2C, B2B",Private,2006 (18 yrs old),Nov-50,,http://magicworksitsolutions.com,Corporate,Small,True,False,False
A2Z Infraservices,3.9,(149 reviews),0,"Facility Management Services, Public, Corporate, B2B",Public,2002 (22 yrs old),10001-50000,,https://www.a2zinfraservices.co.in/,Corporate,Large,False,False,True
Cube Construction Engineering,,,0,"Engineering & Construction, Public, Corporate, B2C, B2B",Public,1994 (30 yrs old),5001-10000,,http://www.ccel.in/,Corporate,Medium,False,True,False
Unison,3.6,(36 reviews),0,"Insurance, Financial Services, Private, Corporate, B2C, B2B",Private,1998 (26 yrs old),201-500,,http://www.unisoninsurance.net,Corporate,Medium,False,True,False
Celon ,,,0,"Pharmaceutical & Life Sciences, Financial Services, Private, Corporate, B2B",Private,2007 (17 yrs old),501-1000,,http://www.celonlabs.com/,Corporate,Medium,False,True,False
Mawai Infotech,3.8,(68 reviews),0,"IT Services & Consulting, Private, Corporate, B2B",Private,1998 (26 yrs old),51-200,,https://www.mawai.com,Corporate,Small,True,False,False
Mahindra First Choice,3.8,(736 reviews),10.9K followers ,"Automobile, Internet, Private, Corporate, B2C, Soonicorn",Private,1994 (30 yrs old),501-1000,,,Corporate,Medium,False,True,False
OmniActive Health Technologies,3.6,(176 reviews),0,"Fitness & Wellness, Food Processing, Internet, Public, Corporate, B2C",Public,2004 (20 yrs old),201-500,,http://www.omniactives.com,Corporate,Medium,False,True,False
Gadgetshieldz,4.2,(17 reviews),0,"Internet, Private, Corporate, B2C, E-commerce",Private,2009 (15 yrs old),Nov-50,,,Corporate,Small,True,False,False
Biz2Credit,3.6,(219 reviews),16.9K followers ,"Financial Services, Private, Corporate, B2B",Private,2007 (17 yrs old),201-500,"New York, United States (USA)",https://www.biz2credit.com/,Corporate,Medium,False,True,False
Haldyn Glass,4.1,(43 reviews),0,"Packaging & Containers, Building Material, Public, Corporate, B2C",Public,1991 (33 yrs old),201-500,,http://www.haldynglass.com/,Corporate,Medium,False,True,False
Melstar Information Technologies,,,0,"IT Services & Consulting, Public, Corporate, B2C, B2B",Public,1986 (38 yrs old),201-500,,http://www.melstar.com/,Corporate,Medium,False,True,False
Faze Three,3.8,(87 reviews),0,"Textile & Apparel, Public, Corporate, B2C",Public,1982 (42 yrs old),501-1000,,https://www.fazethree.com/,Corporate,Medium,False,True,False
G Plast,3.7,(87 reviews),0,"Electronics Manufacturing, Private, Corporate, B2B",Private,1984 (40 yrs old),51-200,"Coimbatore, Tamil Nadu",http://www.gplast.com/,Corporate,Small,True,False,False
Space Matrix Design Consultants,3.7,(103 reviews),0,"Real Estate, Private, Corporate, B2B",Private,2001 (23 yrs old),501-1000,,http://www.spacematrix.com,Corporate,Medium,False,True,False
Nagarjuna Construction Company (NCC),4.2,(3.2K reviews),19.5K followers ,"Engineering & Construction, Public, Corporate, B2C, B2B, Conglomerate",Public,1998 (26 yrs old),5001-10000, Hyderabad,http://www.ncclimited.com,Corporate,Medium,False,True,False
NRB BEARINGS,4.2,(500 reviews),0,"Auto Components, Industrial Equipment / Machinery, Public, Corporate, B2B",Public,1965 (59 yrs old),1001-5000,,http://www.nrbbearings.com,Corporate,Medium,False,True,False
Walking Tree,3.9,(183 reviews),0,"IT Services & Consulting, Private, Corporate, B2B",Private,2008 (16 yrs old),51-200,"Hyderabad / Secunderabad, Telangana",https://walkingtree.tech/,Corporate,Small,True,False,False
Kan Biosys,,,0,"Biotechnology, Private, Corporate, B2B",Private,2005 (19 yrs old),51-200,,,Corporate,Small,True,False,False
Macpower,,,0,"Industrial Equipment / Machinery, Public, Corporate, B2B",Public,2003 (21 yrs old),201-500,,http://www.macpowercnc.com,Corporate,Medium,False,True,False
Wealth Clinic,,,0,"Real Estate, Private, Corporate, B2C",Private,2012 (12 yrs old),501-1000,,https://wealth-clinic.com,Corporate,Medium,False,True,False
Vlink,4.0,(74 reviews),0,"IT Services & Consulting, Emerging Technologies, Private, Corporate, B2B",Private,2006 (18 yrs old),501-1000,,http://www.vlinkinfo.com,Corporate,Medium,False,True,False
Buddy4Study,,,149 followers ,"e-Learning / EdTech, Internet, Private, Corporate, B2C, Minicorn",Private,2011 (13 yrs old),Nov-50,,,Corporate,Small,True,False,False
Shiv Nadar University,4.4,(79 reviews),2.5K followers ,"Education / Training, Private, Corporate, B2C",Private,2011 (13 yrs old),201-500,,http://www.snu.edu.in,Corporate,Medium,False,True,False
ICCS,,,0,"BPO / Call Centre, LLP, Corporate, B2C, B2B",Private,2005 (19 yrs old),1001-5000,Noida,https://www.iccs-bpo.com/,Corporate,Medium,False,True,False
Skets Studio,4.2,(165 reviews),0,"Architecture / Interior Design, Private, Corporate, B2B",Private,2005 (19 yrs old),501-1000,,http://www.sketsstudio.com,Corporate,Medium,False,True,False
Team Thai,3.6,(49 reviews),0,"FMCG, Private, Corporate, B2C, B2B",Private,1984 (40 yrs old),201-500,,http://teamthai.in/,Corporate,Medium,False,True,False
Logicon Technosolutions,4.6,(29 reviews),0,"Industrial Automation, Private, Corporate, B2B",Private,2004 (20 yrs old),51-200,,https://www.logicontech.com,Corporate,Small,True,False,False
Step By Step School,4.5,(40 reviews),0,"Education / Training, Private, Corporate, B2C",Private,1997 (27 yrs old),51-200,,http://www.stepbystep.education,Corporate,Small,True,False,False
SPI CINEMAS,4.7,(69 reviews),0,"Film / Music / Entertainment, Private, Corporate, B2C, B2B",Private,1991 (33 yrs old),201-500,,https://www.spicinemas.in/,Corporate,Medium,False,True,False
DTC Projects,3.8,(133 reviews),0,"Real Estate, Architecture / Interior Design, Financial Services, Metals & Mining, Courier / Logistics, Private, Corporate, B2C, B2B",Private,1970 (54 yrs old),51-200,"Calcutta, India",https://www.dtcgroup.in/,Corporate,Small,True,False,False
Isolve Technologies,,,0,"IT Services & Consulting, Software Product, Private, Corporate, B2B",Private,2004 (20 yrs old),501-1000,"Chennai, India",https://isolveglobal.com/,Corporate,Medium,False,True,False
Scintilla Kreations,,,0,"Advertising & Marketing, Private, Corporate, B2B",Private,2005 (19 yrs old),51-200,,https://www.scintilladigi.com/,Corporate,Small,True,False,False
Aimil,,,0,"Pharmaceutical & Life Sciences, Engineering & Construction, Private, Corporate, B2B",Private,1932 (92 yrs old),501-1000,,https://www.aimil.com/,Corporate,Medium,False,True,False
The George Telegraph Training Institute (GTTI),,,0,"Education / Training, Private, Corporate, B2C",Private,1920 (104 yrs old),1001-5000,,https://www.georgetelegraph.org/,Corporate,Medium,False,True,False
RG Stone Urology & Laparoscopy Hospital,4.5,(162 reviews),0,"Medical Services / Hospital, Private, Corporate, B2C",Private,1986 (38 yrs old),201-500,,http://www.rghospitals.com,Corporate,Medium,False,True,False
ClearTrail Technologies,3.8,(58 reviews),0,"Emerging Technologies, IT Services & Consulting, Private, Corporate, B2B",Private,2001 (23 yrs old),201-500,,http://www.clear-trail.com,Corporate,Medium,False,True,False
SRV Media,,,0,"Advertising & Marketing, Private, Corporate",Private,2011 (13 yrs old),201-500,"Pune, India",https://www.srvmedia.com/about-us/,Corporate,Medium,False,True,False
Sri Chaitanya Educational Institutions,3.8,(811 reviews),0,"Education / Training, Private, Corporate, B2C",Private,1986 (38 yrs old),1001-5000,,https://srichaitanya.net/,Corporate,Medium,False,True,False
Kauvery Hospital,4.0,(289 reviews),330 followers ,"Medical Services / Hospital, Public, Corporate, B2C",Public,1999 (25 yrs old),1001-5000,"Chennai, India",http://www.kauveryhospital.com,Corporate,Medium,False,True,False
Viaante Business Solutions,,,0,"BPO / Call Centre, Financial Services, Telecom / ISP, Medical Services / Hospital, IT Services & Consulting, Management Consulting, Private, Corporate, B2B",Private,2011 (13 yrs old),501-1000,"Mumbai, Maharashtra",http://www.viaante.com,Corporate,Medium,False,True,False
Asian Contec,3.6,(17 reviews),0,"Industrial Equipment / Machinery, Engineering & Construction, Public, Corporate, B2B",Public,1983 (41 yrs old),Nov-50,,https://www.stanlay.in,Corporate,Small,True,False,False
Brainstorm Force,4.6,(11 reviews),0,"IT Services & Consulting, Advertising & Marketing, Private, Corporate, B2B",Private,2009 (15 yrs old),Nov-50,,http://www.brainstormforce.com,Corporate,Small,True,False,False
Irisidea,4.5,(5 reviews),0,"IT Services & Consulting, Private, Corporate, B2B",Private,2010 (14 yrs old),Nov-50,,https://www.irisidea.com,Corporate,Small,True,False,False
The Digital Group Infotech,3.7,(85 reviews),0,"IT Services & Consulting, Private, Corporate, B2B",Private,1999 (25 yrs old),501-1000,,https://www.thedigitalgroup.com,Corporate,Medium,False,True,False
IKF Finance,3.9,(265 reviews),0,"NBFC, Public, Corporate, B2C, B2B",Public,1991 (33 yrs old),1001-5000,,,Corporate,Medium,False,True,False
Somic ZF Components,4.2,(238 reviews),0,"Auto Components, Iron & Steel, Industrial Equipment / Machinery, Private, Corporate, B2B",Private,1995 (29 yrs old),201-500,,http://www.somiczfindia.com/#top,Corporate,Medium,False,True,False
Pharmaffiliates,,,0,"Pharmaceutical & Life Sciences, Analytics / KPO / Research, Private, Corporate, B2C, B2B",Private,2006 (18 yrs old),51-200,,https://www.pharmaffiliates.com/,Corporate,Small,True,False,False
Ray Business Technologies,,,0,"IT Services & Consulting, Hardware & Networking, Software Product, Private, Corporate, B2B",Private,2008 (16 yrs old),201-500,,https://www.raybiztech.com/,Corporate,Medium,False,True,False
Procon India,,,0,"Oil & Gas, Recruitment / Staffing, Private, Corporate, B2B",Private,1993 (31 yrs old),51-200,,http://www.proconIndia.com,Corporate,Small,True,False,False
Tekzee,4.8,(7 reviews),0,"IT Services & Consulting, Private, Corporate, B2B",Private,2001 (23 yrs old),51-200,,http://www.tekzee.com,Corporate,Small,True,False,False
Sasken Technologies,,,3.2K followers ,"IT Services & Consulting, Telecom / ISP, Analytics / KPO / Research, Engineering & Construction, Public, Corporate, B2B",Public,1989 (35 yrs old),1001-5000, Bengaluru,https://www.sasken.com/,Corporate,Medium,False,True,False
Merlinhawk Aerospace,3.6,(20 reviews),0,"Defence & Aerospace, Industrial Equipment / Machinery, Urban Transport, Private, Corporate, B2B",Private,2002 (22 yrs old),51-200,,http://www.merlinhawkaerospace.com,Corporate,Small,True,False,False
CMARIX TechnoLabs,4.2,(18 reviews),0,"IT Services & Consulting, Analytics / KPO / Research, Private, Corporate, B2B",Private,2009 (15 yrs old),51-200,,https://www.cmarix.com/,Corporate,Small,True,False,False
Wildlife SOS,,,0,"NGO / Social Services / Industry Associations, NGO/NPO, Corporate, B2C, B2B",NGO/NPO,1995 (29 yrs old),51-200,,,Corporate,Small,True,False,False
Kirloskar Oil Engines (KOEL),4.2,(832 reviews),639 followers ,"Industrial Equipment / Machinery, Public, Corporate, Indian MNC, B2C, B2B",Public,1946 (78 yrs old),1001-5000,"Pune, Maharashtra",http://koel.kirloskar.com/,Corporate,Medium,False,True,False
Fountainhead School (FS),4.3,(31 reviews),0,"Education / Training, NGO/NPO, Corporate, B2C",NGO/NPO,2005 (19 yrs old),501-1000,,https://www.fountainheadschools.org,Corporate,Medium,False,True,False
Ecosmob Technologies,,,0,"IT Services & Consulting, Hardware & Networking, Software Product, Private, Corporate, B2B",Private,2006 (18 yrs old),51-200,,http://www.ecosmob.com,Corporate,Small,True,False,False
Duroply Industries,4.3,(60 reviews),0,"Building Material, Public, Corporate, B2C, B2B",Public,1957 (67 yrs old),201-500,,http://www.duroply.in,Corporate,Medium,False,True,False
Piaggio,3.7,(859 reviews),2.7K followers ,"Automobile, Private, Corporate, B2C",Private,1884 (140 yrs old),1001-5000,,http://www.piaggio-cv.co.in/,Corporate,Medium,False,True,False
Zorba the Buddha,,,0,"NGO / Social Services / Industry Associations, NGO/NPO, Corporate, B2C",NGO/NPO,2008 (16 yrs old),Nov-50,,,Corporate,Small,True,False,False
KisanKraft Machine Tools,4.0,(191 reviews),0,"Industrial Equipment / Machinery, Agriculture / Forestry / Fishing, Private, Corporate, B2B",Private,2005 (19 yrs old),51-200,,https://www.kisankraft.com/,Corporate,Small,True,False,False
Eccentric Engine,3.6,(11 reviews),0,"Emerging Technologies, Private, Corporate, B2B",Private,2012 (12 yrs old),Nov-50,,https://eccentricengine.com/,Corporate,Small,True,False,False
Kimia Biosciences,,,0,"Pharmaceutical & Life Sciences, Private, Corporate, B2B",Private,1993 (31 yrs old),201-500,,http://www.kimiabiosciences.com,Corporate,Medium,False,True,False
Paramatrix Technologies,4.4,(162 reviews),0,"Software Product, Private, Corporate, B2B",Private,2004 (20 yrs old),1001-5000,,http://www.paramatrix.com,Corporate,Medium,False,True,False
